tag,id,min_letter_mass,missing_letter_entries
gemma4_26b_base,117,0.9557000000000001,0
gemma4_26b_base,118,0.9286,0
gemma4_26b_base,119,0.9474000000000001,0
gemma4_26b_base,120,0.9593999999999999,0
gemma4_26b_base,121,0.9435,0
gemma4_26b_base,122,0.9436,0
gemma4_26b_base,123,0.9647000000000001,0
gemma4_26b_base,124,0.9574,0
gemma4_26b_base,125,0.9602,0
gemma4_26b_base,126,0.9491999999999999,0
gemma4_26b_base,127,0.9472,0
gemma4_26b_base,128,0.9446000000000001,0
gemma4_26b_base,201,0.9711,0
gemma4_26b_base,202,0.9328,0
gemma4_26b_base,203,0.9537,0
gemma4_26b_base,204,0.9768999999999999,0
gemma4_26b_base,205,0.9748,0
gemma4_26b_base,206,0.9323,0
gemma4_26b_base,207,0.9732000000000001,0
gemma4_26b_base,208,0.9534,0
gemma4_26b_base,209,0.957,0
gemma4_26b_base,210,0.9746,0
gemma4_26b_base,211,0.9492,0
gemma4_26b_base,212,0.9751,0
gemma4_26b_base,213,0.9751,0
gemma4_26b_base,214,0.9564999999999999,0
gemma4_26b_base,215,0.9711000000000001,0
gemma4_26b_base,216,0.9746999999999999,0
gemma4_26b_base,217,0.9746,0
gemma4_26b_base,218,0.9532,0
gemma4_26b_base,219,0.9155,0
gemma4_26b_base,220,0.9481,0
gemma4_26b_base,221,0.9793000000000001,0
gemma4_26b_base,222,0.9787999999999999,0
gemma4_26b_base,223,0.9539,0
gemma4_26b_base,224,0.9627,0
gemma4_26b_base,225,0.977,0
gemma4_26b_base,226,0.9713999999999998,0
gemma4_26b_base,227,0.965,0
gemma4_26b_base,228,0.9596,0
gemma4_26b_base,229,0.9697,0
gemma4_26b_base,230,0.9684,0
gemma4_26b_base,301,0.9405,0
gemma4_26b_base,302,0.9269,0
gemma4_26b_base,303,0.9528,0
gemma4_26b_base,304,0.9526999999999999,0
gemma4_26b_base,305,0.9445,0
gemma4_26b_base,306,0.9092000000000001,0
gemma4_26b_base,307,0.9696,0
gemma4_26b_base,308,0.9625999999999999,0
gemma4_26b_base,309,0.9567,0
gemma4_26b_base,310,0.9652000000000001,0
gemma4_26b_base,311,0.9512,0
gemma4_26b_base,312,0.9745,0
gemma4_26b_base,313,0.9589,0
gemma4_26b_base,314,0.9550000000000001,0
gemma4_26b_base,315,0.9533,0
gemma4_26b_base,316,0.9017,0
gemma4_26b_base,317,0.9319,0
gemma4_26b_base,318,0.9398,0
gemma4_26b_base,319,0.9387,0
gemma4_26b_base,320,0.967,0
gemma4_26b_base,321,0.9366,0
gemma4_26b_base,322,0.8667,0
gemma4_26b_base,323,0.9644,0
gemma4_26b_base,324,0.9708,0
gemma4_26b_base,325,0.9642999999999999,0
gemma4_26b_base,326,0.9561,0
gemma4_26b_base,327,0.9386,0
gemma4_26b_base,328,0.8933,0
gemma4_26b_base,329,0.9559,0
gemma4_26b_base,330,0.9717,0
granite4_small_base,1,0.9728999999999999,0
granite4_small_base,2,0.9813,0
granite4_small_base,3,0.9818999999999999,0
granite4_small_base,4,0.9813,0
granite4_small_base,6,0.9847000000000001,0
granite4_small_base,8,0.9846,0
granite4_small_base,9,0.9791,0
granite4_small_base,10,0.9916,0
granite4_small_base,11,0.9766,0
granite4_small_base,14,0.9899,0
granite4_small_base,15,0.984,0
granite4_small_base,16,0.9937,0
granite4_small_base,17,0.9801,0
granite4_small_base,19,0.9925,0
granite4_small_base,22,0.9876,0
granite4_small_base,23,0.9884,0
granite4_small_base,24,0.987,0
granite4_small_base,25,0.9791,0
granite4_small_base,27,0.9919,0
granite4_small_base,28,0.9885999999999999,0
granite4_small_base,29,0.995,0
granite4_small_base,30,0.9716,0
granite4_small_base,31,0.9663999999999999,0
granite4_small_base,32,0.9622,0
granite4_small_base,33,0.9905999999999999,0
granite4_small_base,34,0.9745000000000001,0
granite4_small_base,35,0.9863999999999999,0
granite4_small_base,36,0.9523,0
granite4_small_base,37,0.9907999999999998,0
granite4_small_base,38,0.9693999999999999,0
granite4_small_base,39,0.9659,0
granite4_small_base,40,0.9799,0
granite4_small_base,41,0.992,0
granite4_small_base,42,0.9733999999999998,0
granite4_small_base,43,0.9596,0
granite4_small_base,44,0.9772000000000001,0
granite4_small_base,45,0.9926,0
granite4_small_base,46,0.947,0
granite4_small_base,47,0.9828000000000001,0
granite4_small_base,48,0.9752000000000001,0
granite4_small_base,49,0.9806999999999999,0
granite4_small_base,50,0.9808,0
granite4_small_base,51,0.9734999999999999,0
granite4_small_base,52,0.9722999999999999,0
granite4_small_base,53,0.9861,0
granite4_small_base,54,0.9795,0
granite4_small_base,55,0.9715,0
granite4_small_base,56,0.9674,0
granite4_small_base,57,0.9817,0
granite4_small_base,58,0.9668,0
granite4_small_base,59,0.9863000000000001,0
granite4_small_base,60,0.9881,0
granite4_small_base,61,0.9934999999999999,0
granite4_small_base,62,0.9606,0
granite4_small_base,63,0.9546,0
granite4_small_base,64,0.9889,0
granite4_small_base,65,0.9748,0
granite4_small_base,66,0.9660999999999998,0
granite4_small_base,67,0.9844,0
granite4_small_base,68,0.9833000000000001,0
granite4_small_base,69,0.9894,0
granite4_small_base,70,0.9863,0
granite4_small_base,71,0.9863,0
granite4_small_base,72,0.9849,0
granite4_small_base,73,0.9866000000000001,0
granite4_small_base,74,0.9815,0
granite4_small_base,75,0.9844,0
granite4_small_base,76,0.9820999999999999,0
granite4_small_base,77,0.9909,0
granite4_small_base,78,0.9853,0
granite4_small_base,79,0.9769,0
granite4_small_base,80,0.9772000000000001,0
granite4_small_base,81,0.9602,0
granite4_small_base,82,0.9840000000000001,0
granite4_small_base,83,0.9817,0
granite4_small_base,84,0.995,0
granite4_small_base,85,0.9879,0
granite4_small_base,86,0.9728,0
granite4_small_base,87,0.9736999999999999,0
granite4_small_base,88,0.9823000000000001,0
granite4_small_base,89,0.9835999999999999,0
granite4_small_base,90,0.9718,0
granite4_small_base,91,0.9858999999999999,0
granite4_small_base,92,0.9875,0
granite4_small_base,93,0.986,0
granite4_small_base,94,0.9643,0
granite4_small_base,95,0.9725,0
granite4_small_base,96,0.9752000000000001,0
granite4_small_base,97,0.9606,0
granite4_small_base,98,0.9899,0
granite4_small_base,99,0.9854,0
granite4_small_base,100,0.9714,0
